month_day,engagement_ratio,hashtags
June-29,-3.9782356563430112,"#myNYUAD, #SaadiyatViews"
June-30,-4.402453851430502,#yale
March-1,-4.135328051103862,"#ThisIsYale, #BoolaBoola, #Yale"
March-2,-4.869509275647615,"#harvard, #housingday2018"
March-3,-4.554687254155495,"#Harvard, #SuperTuesday"
March-4,-3.6246861589036063,#MyNYUAD
March-5,-4.3985318730313505,#Yale
March-6,-4.002588674994689,#Yale
March-7,-4.569500094850927,#HousingDay2018
March-8,-4.10994500169759,"#IWD2021, #ChooseToChallenge, #MyNYUAD"
March-9,-3.4617506996887664,"#LifeBeyondSaadiyat, #VioletPride, #NYUAD2022"
March-10,-4.703950311769458,"#yale, #yalelibrary"
March-11,-4.422751279323056,"#IWD2021, #ChooseToChallenge, #MyNYUAD"
March-12,-4.2356476644920384,"#ChooseToChallenge, #IWD2021, #ChooseToChallenge, #MyNYUAD"
March-13,-4.424726952862329,#Yale
March-14,-4.1232095521525505,#Yale
March-15,-3.747621899579508,"#COVID19, #Yale"
March-16,-3.8493248512887686,"#NYUAD2025, #MyNYUAD"
March-17,-3.5751374132451157,#MyNYUAD
March-18,-4.468827906526706,"#IMetHandsomeDan, #yale"
March-19,-4.539460806824202,"#Harvard, #MatchDay, #MatchDay2021, #HarvardMed"
March-20,-4.533810135315393,"#HarvardInSpring, #Harvard, #HappySpring, #FirstDayOfSpring"
March-21,-3.937921409147223,"#Harvard, #Harvard23"
March-22,-4.230158172207266,#RamadanKareem
March-23,-4.683202881650684,"#NationalPuppyDay, #Harvard"
March-24,-4.372346894890898,#Harvard
March-25,-4.196878404103601,"#IStayHomeFor, #StayHome, #COVID19, #Smilow, #yalesom, #socialdistancing, #yalecancercenter, #yalemedicine, #ynhh, #nhv, #newhaven, #yale"
March-26,-3.631063369719307,"#Yale2024, #Yale"
March-27,-4.117127187799123,#yale
March-28,-3.83117638067302,"#Yale, #Admissions, #Yale2023"
March-29,-4.132008414795774,"#Yale2028, #Yale"
March-30,-3.733643865760616,"#Yale, #Yale2027"
March-31,-3.571353113553873,#NYUAD2026
May-1,-4.6525880309443925,#Harvard
May-2,-4.420400910768774,#Yale
May-3,-4.063663806422247,"#Harvard21, #Harvard"
May-4,-4.564911951827621,"#MayThe4thBeWithYou, #maythe4th, #HandsomeDan, #yale"
May-5,-4.925068793434532,"#Yale, #Yale2020, #YaleAlumni"
May-6,-4.398016966475511,#Yale
May-7,-4.431304528030275,#yale
May-8,-5.071286829828538,"#Yale2022, #Yale"
May-9,-4.5528199060625925,#Yale
May-10,-4.07966380358312,"#NYUAD, #Classof2024, #MyNYUAD, #NYUAD2024"
May-11,-4.572854115536842,#NYUAD2021
May-12,-4.087544065008424,"#NYUAD2023, #VioletPride"
May-13,-3.8720244388048743,"#NYUAD2023, #VioletPride"
May-14,-3.6791997143309487,#Harvard20
May-15,-4.190797098326687,"#NYUAD2023, #VioletPride"
May-16,-4.501057971503995,"#Yale, #Yale2022, #YaleAlumni"
May-17,-4.0441936241348095,"#NYUAD2023, #VioletPride"
May-18,-4.206858482526009,#Harvard20
May-19,-3.8843743525567196,"#YaleAlumni, #AnimalCrossing, #VirtualYale, #Yale2020"
May-20,-4.010244081579299,"#Yale, #Yale2018"
May-21,-3.5779850658576247,"#NYUAD2023, #VioletPride"
May-22,-3.6336907219966896,"#NYUAD2023, #VioletPride, #livableplanet"
May-23,-4.241883410532662,#Harvard19
May-24,-4.5665275316864955,#Harvard19
May-25,-4.149497956241521,"#Harvard23, #Harvard"
May-26,-4.644789247329511,"#NYUAD2022, #VioletPride"
May-27,-4.201164837389697,#Harvard20
May-28,-4.669864819670474,"#HarvardChan2020, #Harvard20"
May-29,-4.560082549857349,"#NYUAD2022, #VioletPride"
May-30,-4.221680703215141,#Harvard19
May-31,-5.091558629317824,#MemorialDay
November-1,-3.9462362790377323,#Harvard
November-2,-4.867450602764081,#HarvardinAutumn
November-3,-4.451518096589995,"#Yale, #FallBack"
November-4,-3.841871400634186,"#VioletPride, #LifeBeyondSaadiyat, #Expo2020, #Dubai, #NYUAD2021, #NYUAlumni"
November-5,-4.512999208772794,#HarvardinAutumn
November-6,-4.270228896104955,"#Yale, #NHV, #NewHaven"
November-7,-4.089127596614072,#myNYUAD
November-8,-3.8551158163100356,"#eclipse, #Yale"
November-9,-4.123835481286514,"#Yale, #COVID19, #YaleAlumni, #YaleWomen"
November-10,-4.604113200450141,#yale
November-11,-4.481994112885913,"#UniversityApplications, #NYUAD, #NYUAbuDhabi, #studyinuae"
November-12,-3.9284328338591945,"#myNYUAD, #NYUAD, #UniversityLife, #DayInALife, #StudyinUAE"
November-13,-4.156310922255516,#WorldKindnessDay
November-14,-4.042679619303596,"#cop27, #LivablePlanet"
November-15,-4.293845716531228,#HarvardInAutumn
November-16,-3.6156115848154284,"#NYUADArtGallery, #ourNYUAD, #mynyuad, #nyuad, #nyu, #Cultureupfront, #inAbuDhabi, #MyAbuDhabi, #eventsAbuDhabi, #abudhabievents, #myabudhabi, #abudahbilife, #virtual, #online, #StayCurious, #InAbuDhabi, #modernismsnyu, #abbyweedgreycollection, #nyugrey, #modernart"
November-17,-4.691404048294023,#Harvard
November-18,-4.10307724230701,#yale
November-19,-4.223623289623565,"#Harvard, #HarvardinAutumn"
November-20,-4.492647875337831,#yale
November-21,-5.049720498772774,"#TBT, #BoolaBoola, #Yale, #ThisIsYale, #YaleAlumni, #TheGame, #BeatHarvard"
November-22,-4.205902865549489,#Thanksgiving
November-23,-4.46164279417278,"#gobblegobble, #harvard"
November-24,-3.7888469323259684,#UAE50
November-25,-4.326178044905207,"#GoStanford, #BeatCal"
November-26,-4.870591777879671,#Thanksgiving
November-27,-4.089675686367742,#Yale
November-28,-4.175058750980039,#Yale
November-29,-4.427185876390917,"#MusicInSpace, #SpaceArt, #NYUAD"
November-30,-4.276851995090357,#UAE50
October-1,-4.641780682427221,"#HarvardInAutumn, #Harvard"
October-2,-3.358651042960084,#inAbuDhabi
October-3,-4.363409280273935,#TakeoverThursday
October-4,-3.9486747188185842,#Yale
October-5,-3.9825000551294694,"#COP28, #YearofSustainability, #liveableplanet"
October-6,-4.189064793436068,"#Harvard, #HarvardInAutumn"
October-7,-3.791160738853039,#yale
October-8,-3.887326604951817,"#NYUShanghai, #GlobalEducation, #CampusVibes"
October-9,-5.03929764632829,#Harvard
October-10,-4.379454473569729,#worldmentalhealthday
October-11,-3.8991754278708255,#ICYMI
October-12,-4.132859261220466,#myNYUAD
October-13,-5.333370038706242,"#harvard, #harvardinautumn, #sunset"
October-14,-4.344070969680411,"#ThrowbackThursday, #NYUAD10, #HereWeGrow"
October-15,-4.547418309863599,#HarvardInAutumn
October-16,-4.613226957063815,"#HarvardInAutumn, #DogsOfHarvard"
October-17,-4.555138619543432,"#Harvard, #HarvardInAutumn"
October-18,-4.69612889996158,#Stanford2026
October-19,-3.4640115586179094,#MyNYUAD
October-20,-4.611553716563475,"#Harvard, #HarvardinAutumn"
October-21,-4.603101566575297,#yale
October-22,-4.737933819396271,"#YaleAlumni, #BoolaBoola, #HOCR, #HOCR55, #Yale"
October-23,-4.841266845914296,"#HarvardInAutumn, #Harvard"
October-24,-4.083207569386597,#StanfordReunion
October-25,-4.7606072107774855,#yale
October-26,-4.203153831015593,#NYUAD2026
October-27,-5.198958319280334,"#HarvardInAutumn, #HarvardInAutumn"
October-28,-4.544212820518538,"#HarvardInAutumn, #Harvard"
October-29,-4.5169385694753865,#HarvardInAutumn
October-30,-3.8557281747485095,"#HarvardInAutumn, #HarvardInWinter"
